"File Info: pitchLogic Export v2.4","Session Date: 2026-05-15"
"Athlete: Marcus Vance","Hand: Right"
"App Version: 2.4.18","Device: iPhone 15 Pro"
"Exported: 2026-05-15 14:11:02","Timezone: UTC"
"Pitch_Num","Timestamp","Pitch_Type","Velocity_mph","Total_Spin_rpm","Spin_Efficiency_pct","Spin_Direction_hhmm","Gyro_Degrees","Vert_Break_in","Horiz_Break_in","Extension_ft","Release_Height_ft","Release_Side_ft","Backward_Extension_in"
1,"2026-05-15 14:02:11","Four-Seam Fastball",91.2,2255,96.8,"01:15",11.8,18.2,-7.1,6.2,5.9,2.1,4.5
2,"2026-05-15 14:02:56","Four-Seam Fastball",92.1,2310,97.2,"01:00",10.4,18.5,-6.9,6.3,5.9,2.0,4.6
3,"2026-05-15 14:03:41","Two-Seam Sinker",89.5,2180,95.1,"02:30",14.1,12.3,-15.1,6.1,5.8,2.2,4.4
4,"2026-05-15 14:04:26","Four-Seam Fastball",91.8,2290,97.5,"01:15",10.8,18.7,-7.0,6.2,5.9,2.1,4.5
5,"2026-05-15 14:05:11","Slider Strike-Getter",83.1,2420,34.2,"08:45",65.8,-2.1,5.2,5.1,5.8,2.3,3.9
6,"2026-05-15 14:05:56","Slider Chase",78.4,2380,18.4,"09:15",78.9,-4.2,15.8,5.0,5.7,2.3,3.8
7,"2026-05-15 14:06:41","Two-Seam Sinker",89.8,2210,94.8,"02:30",14.4,12.6,-15.3,6.1,5.8,2.2,4.4
8,"2026-05-15 14:07:26","Four-Seam Fastball",91.5,2275,96.9,"01:15",11.2,18.4,-7.0,6.2,5.9,2.1,4.5
9,"2026-05-15 14:08:11","Slider Chase",79.1,2395,16.8,"09:15",80.2,-4.5,16.2,5.0,5.7,2.3,3.8
10,"2026-05-15 14:08:56","Slider Strike-Getter",83.5,2435,33.8,"08:45",66.1,-2.3,5.4,5.1,5.8,2.3,3.9
